"Contract ID","Plan ID","Organization Type","Plan Type","Offers Part D","SNP Plan","EGHP","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date"
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employees Health Systems",1/1/2007 0:00:00
"E7848","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD","HealthChoice","OK State and Education Emp Group Ins Board (Employer PDP)","Oklahoma State and Educ Employees Group Ins Board",1/1/2007 0:00:00
"H0046","001",,,"No","No","No",,,,,
"H0046","002",,,"No","No","No",,,,,
"H0084","001","Local CCP","Local PPO","Yes","No","No","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",1/1/2009 0:00:00
"H0104","002","Local CCP","Local PPO","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Value (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","004","Local CCP","Local PPO","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Plus (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","006","Local CCP","Local PPO","Yes","Yes","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Special Needs Plan (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","008","Local CCP","Local PPO","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Preferred (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","801","Local CCP","Local PPO","No","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 801 (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","802","Local CCP","Local PPO","Yes","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 802 (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0104","804","Local CCP","Local PPO","Yes","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 804 (PPO)","BlueCross BlueShield of Alabama",7/1/2005 0:00:00
"H0105","001","National PACE","National PACE","Yes","No","No","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",3/1/2008 0:00:00
"H0105","002","National PACE","National PACE","Yes","No","No","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",3/1/2008 0:00:00
"H0108","004","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-004 (HMO)","Humana Inc.",1/1/2010 0:00:00
"H0108","005","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-005 (HMO)","Humana Inc.",1/1/2010 0:00:00
"H0108","006","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-006 (HMO-POS)","Humana Inc.",1/1/2010 0:00:00
"H0108","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",1/1/2010 0:00:00
"H0108","802","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",1/1/2010 0:00:00
"H0108","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored Non-CY (HMO)","Humana Inc.",1/1/2010 0:00:00
"H0117","005","Local CCP","HMO/HMOPOS","Yes","No","No","WELLCARE OF OHIO, INC.","WellCare","WellCare Value (HMO)","WellCare Health Plans, Inc.",1/1/2008 0:00:00
"H0117","007","Local CCP","HMO/HMOPOS","Yes","Yes","No","WELLCARE OF OHIO, INC.","WellCare","WellCare Access (HMO)","WellCare Health Plans, Inc.",1/1/2008 0:00:00
"H0141","001","Local CCP","HMO/HMOPOS","Yes","Yes","No","CARESOURCE MICHIGAN","CareSource","CareSource Advantage (HMO)","CareSource",1/1/2008 0:00:00
"H0150","001","Local CCP","HMO/HMOPOS","Yes","No","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring HealthyAdvantage Plus (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","007","Local CCP","HMO/HMOPOS","Yes","Yes","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring TotalCare (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","010","Local CCP","HMO/HMOPOS","Yes","No","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring HealthyAdvantage Select (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","012","Local CCP","HMO/HMOPOS","No","No","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring HealthyAdvantage (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","019","Local CCP","HMO/HMOPOS","Yes","Yes","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring OptimaCare (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","021","Local CCP","HMO/HMOPOS","Yes","No","No","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring HealthyLiving Premier (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","802","Local CCP","HMO/HMOPOS","No","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring Retiree Advantage (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0150","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring Retiree Advantage Plus (HMO)","HealthSpring, Inc.",3/1/1994 0:00:00
"H0151","001","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0151","015","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","SecureHorizons MedicareComplete (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0151","023","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0151","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0151","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0151","805","Local CCP","HMO/HMOPOS","No","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",2/1/1995 0:00:00
"H0154","001","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","008","Local CCP","HMO/HMOPOS","No","No","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Select (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","010","Local CCP","HMO/HMOPOS","Yes","Yes","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Extra Care (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","011","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Premier (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","012","Local CCP","HMO/HMOPOS","Yes","Yes","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Extra Value (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","013","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Gold (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Group Plan (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","802","Local CCP","HMO/HMOPOS","No","No","Yes","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Select Group Plan (HMO)","UAB Health System",5/1/1998 0:00:00
"H0154","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","VIVA HEALTH, INC.","VIVA Medicare Plus","VIVA Medicare Plus Rx Group Plan (not CY) (HMO)","UAB Health System",5/1/1998 0:00:00
"H0245","001",,,"No","No","No",,,,,
"H0245","002",,,"No","No","No",,,,,
"H0245","003",,,"No","No","No",,,,,
"H0245","004",,,"No","No","No",,,,,
"H0245","801",,,"No","No","No",,,,,
"H0245","802",,,"No","No","No",,,,,
"H0248","001","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0248-001 (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0248","002","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0248-002 (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0248","003","Local CCP","Local PPO","No","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0248-003 (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0248","801","Local CCP","Local PPO","Yes","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0248","802","Local CCP","Local PPO","No","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0248","803","Local CCP","Local PPO","Yes","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored Non-CY (PPO)","Humana Inc.",1/1/2009 0:00:00
"H0251","001","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","AmeriChoice Secure Plus Complete","AmeriChoice Secure Plus Complete (HMO)","UnitedHealth Group, Inc.",1/1/2007 0:00:00
"H0251","002","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","AmeriChoice Secure Plus Complete","AmeriChoice Secure Plus Complete (HMO)","UnitedHealth Group, Inc.",1/1/2007 0:00:00
"H0302","001","Local CCP","HMO/HMOPOS","Yes","No","No","BANNER MEDISUN, INC.","Banner MediSun","MediSunONE Plus (HMO)","Banner Health",8/1/1999 0:00:00
"H0302","004","Local CCP","HMO/HMOPOS","Yes","Yes","No","BANNER MEDISUN, INC.","Banner MediSun","MediSunONE HeartSmart (HMO)","Banner Health",8/1/1999 0:00:00
"H0302","006","Local CCP","HMO/HMOPOS","Yes","No","No","BANNER MEDISUN, INC.","Banner MediSun","MediSunONE Classic (HMO)","Banner Health",8/1/1999 0:00:00
"H0302","007","Local CCP","HMO/HMOPOS","Yes","No","No","BANNER MEDISUN, INC.","Banner MediSun","MediSunONE Premier (HMO)","Banner Health",8/1/1999 0:00:00
"H0303","013","Local CCP","HMO/HMOPOS","Yes","No","No","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","015","Local CCP","HMO/HMOPOS","Yes","No","No","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","034","Local CCP","HMO/HMOPOS","Yes","Yes","No","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","Evercare Plan DH (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","039","Local CCP","HMO/HMOPOS","Yes","No","No","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 3 (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","801","Local CCP","HMO/HMOPOS","No","No","Yes","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0303","805","Local CCP","HMO/HMOPOS","Yes","No","Yes","PACIFICARE OF ARIZONA, INC","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",4/1/1986 0:00:00
"H0307","008","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H0307-008 (HMO)","Humana Inc.",4/1/1988 0:00:00
"H0307","009","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H0307-009 (HMO-POS)","Humana Inc.",4/1/1988 0:00:00
"H0307","010","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H0307-010 (HMO-POS)","Humana Inc.",4/1/1988 0:00:00
"H0307","011","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H0307-011 (HMO)","Humana Inc.",4/1/1988 0:00:00
"H0307","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",4/1/1988 0:00:00
"H0307","802","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",4/1/1988 0:00:00
"H0307","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored Non-CY (HMO)","Humana Inc.",4/1/1988 0:00:00
"H0307","805","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored (HMO-POS)","Humana Inc.",4/1/1988 0:00:00
"H0307","806","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored (HMO-POS)","Humana Inc.",4/1/1988 0:00:00
"H0307","807","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Employer Sponsored Non-CY (HMO-POS)","Humana Inc.",4/1/1988 0:00:00
"H0316","002","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plan 3 (HMO)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0316","013","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","Evercare Plan MH (HMO)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0316","014","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","AARP MedicareComplete Plus (HMO-POS)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0316","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0316","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0316","806","Local CCP","HMO/HMOPOS","No","No","Yes","UNITEDHEALTHCARE OF ARIZONA,  INC.","SecureHorizons by UnitedHealthcare","MedicareComplete Retiree Plan (HMO)","UnitedHealth Group, Inc.",9/1/2004 0:00:00
"H0317","001","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0317-001 (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","002","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0317-002 (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","004","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0317-004 (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","006","Local CCP","Local PPO","Yes","No","No","HUMANA INSURANCE COMPANY","Humana Insurance Company","HumanaChoice H0317-006 (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","801","Local CCP","Local PPO","Yes","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","802","Local CCP","Local PPO","No","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0317","803","Local CCP","Local PPO","Yes","No","Yes","HUMANA INSURANCE COMPANY","Humana Insurance Company","Humana Employer Sponsored Non-CY (PPO)","Humana Inc.",1/1/2005 0:00:00
"H0318","002","Local CCP","HMO/HMOPOS","Yes","No","No","AETNA HEALTH INC.","Aetna Medicare","Aetna Medicare Premier Plan (HMO)","Aetna Inc.",7/1/2005 0:00:00
"H0318","801","Local CCP","HMO/HMOPOS","No","No","Yes","AETNA HEALTH INC.","Aetna Medicare","Aetna Medicare Plan (HMO)","Aetna Inc.",7/1/2005 0:00:00
"H0318","802","Local CCP","HMO/HMOPOS","Yes","No","Yes","AETNA HEALTH INC.","Aetna Medicare","Aetna Medicare Plan w/Rx CY (HMO)","Aetna Inc.",7/1/2005 0:00:00
"H0319","001","Local CCP","Local PPO","Yes","Yes","No","UNITEDHEALTHCARE INSURANCE COMPANY","Evercare« by UnitedHealthcare","Evercare Plan IP (PPO)","UnitedHealth Group, Inc.",1/1/2005 0:00:00
"H0319","004","Local CCP","Local PPO","Yes","Yes","No","UNITEDHEALTHCARE INSURANCE COMPANY","Evercare« by UnitedHealthcare","Evercare Plan MP (PPO)","UnitedHealth Group, Inc.",1/1/2005 0:00:00
"H0320","001","Local CCP","HMO/HMOPOS","Yes","No","No","ARCADIAN HEALTH PLAN, INC.","Desert Canyon Community Care","Desert Canyon Community Care - Plus (HMO)","Arcadian Management Services Inc.",7/1/2005 0:00:00
"H0320","005","Local CCP","HMO/HMOPOS","Yes","No","No","ARCADIAN HEALTH PLAN, INC.","Desert Canyon Community Care","Desert Canyon Community Care-Plus (HMO)","Arcadian Management Services Inc.",7/1/2005 0:00:00
"H0320","006","Local CCP","HMO/HMOPOS","Yes","No","No","ARCADIAN HEALTH PLAN, INC.","Desert Canyon Community Care","Desert Canyon Community Care-Plus (HMO)","Arcadian Management Services Inc.",7/1/2005 0:00:00
"H0320","007","Local CCP","HMO/HMOPOS","Yes","No","No","ARCADIAN HEALTH PLAN, INC.","Desert Canyon Community Care","Desert Canyon Community Care - Plus Point (HMO-POS)","Arcadian Management Services Inc.",7/1/2005 0:00:00
"H0321","002","Local CCP","HMO/HMOPOS","Yes","Yes","No","ARIZONA PHYSICIANS IPA, INC.","APIPA Personal Care Plus","APIPA Personal Care Plus (HMO)","UnitedHealth Group, Inc.",9/1/2005 0:00:00
"H0322","002",,,"No","No","No",,,,,
"H0322","006",,,"No","No","No",,,,,
"H0322","801",,,"No","No","No",,,,,
"H0322","802",,,"No","No","No",,,,,
"H0322","804",,,"No","No","No",,,,,
"H0332","001","Local CCP","HMO/HMOPOS","No","No","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","002","Local CCP","HMO/HMOPOS","Yes","No","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","003","Local CCP","HMO/HMOPOS","No","No","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential + Choice (HMO-POS)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","004","Local CCP","HMO/HMOPOS","Yes","No","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx + Choice (HMO-POS)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","801","Local CCP","HMO/HMOPOS","No","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential Retiree (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx Retiree (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","804","Local CCP","HMO/HMOPOS","No","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential + Choice Retiree (HMO-POS)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","805","Local CCP","HMO/HMOPOS","Yes","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx + Choice Retiree (HMO-POS)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","806","Local CCP","HMO/HMOPOS","No","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential Retiree (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","807","Local CCP","HMO/HMOPOS","Yes","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx Retiree (HMO)","KS Plan Administrators, LLC",1/1/2008 0:00:00
"H0332","808","Local CCP","HMO/HMOPOS","No","No","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential + Choice Retiree (HMO-POS)","KS Plan Administrators, LLC",1/1/2008 0:00:00
